client_id,client_tenure_years,client_tenure_months,client_age,gender,number_accounts,balance,calls_6_months,logons_6_months,Variation
9988021,6,73,60.5,Unknown,2,45105.3,6,9,Test
9988021,7,94,58.0,Unknown,2,110860.3,6,9,Test
9988021,5,64,32.0,Unknown,2,52467.79,6,9,Test
9988021,16,198,49.0,Male,2,67454.65,3,6,Test
9988021,12,145,33.0,Female,2,103671.75,0,3,Test
9988021,5,71,30.5,Unknown,2,23915.6,0,3,Test
9988021,5,66,58.5,Unknown,2,27021.42,2,5,Test
9988021,30,361,57.5,Male,5,522498.72,1,4,Test
8320017,30,369,67.5,Male,2,299388.72,3,6,Test
8320017,15,189,54.5,Female,2,382303.83,6,9,Test
8320017,8,100,34.5,Unknown,2,75578.54,0,3,Test
8320017,8,99,51.5,Unknown,2,135940.68,6,9,Test
8320017,5,67,33.0,Unknown,2,29782.96,6,9,Test
4033851,16,193,62.5,Male,3,136818.03,6,9,Control
4033851,5,71,54.5,Unknown,2,44408.87,2,5,Control
4033851,4,58,36.0,Unknown,2,46815.48,5,8,Control
4033851,3,47,74.0,Unknown,2,47804.5,1,4,Control
4033851,10,122,32.5,Male,2,30750.76,0,3,Control
4033851,11,136,31.0,Female,2,111736.78,5,8,Control
4033851,8,101,25.5,Unknown,2,27848.76,3,6,Control
4033851,8,100,31.0,Unknown,2,28952.15,0,3,Control
4033851,8,103,42.5,Female,3,2768726.87,5,8,Control
4033851,5,70,42.0,Unknown,3,36621.41,1,4,Control
4033851,12,152,30.5,Male,3,54296.67,3,6,Control
1982004,13,160,30.0,Male,2,61062.57,6,9,Test
1982004,6,80,58.5,Unknown,2,66514.85,4,7,Test
1982004,7,88,62.5,Unknown,2,272252.76,0,3,Test
1982004,7,86,30.5,Unknown,2,28175.92,1,4,Test
1982004,5,65,34.5,Female,2,66560.69,1,5,Test
9294070,5,68,55.0,Unknown,2,88627.18,2,5,Control
9294070,7,93,38.0,Unknown,2,35917.29,2,5,Control
9466803,7,94,68.5,Unknown,2,35608.94,1,4,Test
9466803,6,73,52.5,Unknown,2,53993.47,4,7,Test
9466803,7,85,57.5,Unknown,2,82787.46,6,9,Test
9466803,8,103,34.5,Unknown,2,44696.97,0,3,Test
9466803,14,168,54.0,Male,2,132347.89,6,9,Test
9466803,11,142,33.0,Male,2,106249.03,1,4,Test
3170143,19,228,63.0,Male,2,439723.43,6,9,Test
3170143,18,223,48.0,Female,2,75124.07,2,5,Test
3170143,12,152,32.0,Female,2,29667.6,0,3,Test
3170143,25,305,66.5,Female,2,214661.75,6,9,Test
3170143,23,286,68.0,Female,3,86005.57,2,5,Test
6651403,23,285,65.0,Female,2,116534.46,5,8,Control
6651403,23,280,60.5,Female,2,131309.81,0,3,Control
6651403,21,254,38.0,Female,2,136515.54,6,9,Control
6651403,21,253,74.0,Male,2,71192.58,1,4,Control
6651403,23,278,51.0,Male,3,327091.02,3,6,Control
6651403,18,221,49.0,Unknown,2,162233.71,0,3,Control
6651403,18,216,46.0,Female,2,25827.39,0,3,Control
5887227,17,212,63.5,Female,2,666138.27,5,8,Test
5887227,17,204,62.5,Male,2,45073.26,1,4,Test
5887227,21,260,54.5,Female,2,39725.28,2,5,Test
5887227,5,68,23.0,Unknown,2,43062.3,1,4,Test
5887227,5,66,26.5,Unknown,2,28875.65,6,9,Test
5887227,9,116,56.5,Male,2,79888.68,5,8,Test
5887227,10,130,76.5,Female,2,82916.93,3,6,Test
2105948,14,177,33.0,Female,2,105416.69,6,9,Control
2105948,13,159,27.5,Female,2,52600.87,2,5,Control
2105948,15,190,60.5,Female,2,48166.13,1,4,Control
2105948,7,89,39.5,Unknown,2,34487.99,6,9,Control
2105948,5,70,25.0,Unknown,3,33261.64,6,9,Control
2105948,5,66,23.0,Unknown,2,29898.98,0,3,Control
2105948,7,91,27.0,Unknown,2,53219.65,6,9,Control
438567,10,129,60.0,Male,2,100777.88,6,9,Test
438567,27,329,66.0,Male,2,406190.96,6,9,Test
438567,7,92,39.0,Unknown,2,56527.9,0,3,Test
438567,14,168,56.0,Male,3,207559.95,6,9,Test
2519971,15,190,40.0,Female,2,205785.55,5,8,Test
2519971,6,82,33.0,Unknown,2,65264.87,6,9,Test
4033851,6,73,52.0,Unknown,3,109130.47,4,7,Control
4033851,12,152,31.5,Female,2,28085.99,1,4,Control
4033851,14,169,38.0,Unknown,2,59526.37,2,5,Control
4033851,5,66,43.5,Unknown,2,104179.39,2,5,Control
9814849,5,66,35.0,Unknown,2,75279.47,2,5,Control
9814849,11,142,19.0,Male,2,25640.01,2,5,Control
9814849,19,239,63.0,Male,2,374919.6,4,7,Control
9814849,5,69,64.5,Unknown,2,78278.56,6,9,Control
9814849,7,91,64.0,Unknown,2,410277.5,5,8,Control
9814849,5,67,22.5,Unknown,3,36298.01,6,9,Control
5407849,4,58,42.0,Unknown,2,98181.16,0,3,Test
5407849,14,178,54.5,Female,2,32873.33,3,6,Test
5407849,11,142,38.0,Male,2,87935.1,4,7,Test
5407849,7,95,33.5,Unknown,2,77674.34,2,5,Test
5407849,5,63,36.5,Female,2,58456.9,0,3,Test
5407849,15,187,61.0,Male,2,63368.8,2,5,Test
5407849,7,95,39.5,Unknown,2,68761.49,6,9,Test
5407849,24,288,40.5,Female,5,121700.66,5,8,Test
7286739,21,261,68.5,Unknown,3,417847.47,6,9,Control
7286739,20,251,72.0,Male,3,166623.2,1,4,Control
7286739,20,250,33.5,Female,3,109127.33,6,9,Control
7286739,19,228,44.5,Male,2,67727.62,2,5,Control
7286739,8,101,40.0,Unknown,2,259691.04,0,3,Control
7286739,4,56,52.5,Unknown,2,51670.68,2,5,Control
7286739,4,56,28.5,Unknown,2,46749.74,2,5,Control
7286739,14,178,59.5,Male,2,43793.82,0,3,Control
7286739,5,60,23.0,Unknown,2,45780.6,5,8,Control
7286739,10,123,60.0,Female,2,91761.22,0,3,Control
7286739,15,190,59.5,Male,2,83778.79,5,8,Control
7286739,14,175,48.0,Unknown,2,25253.27,0,3,Control
4446011,7,94,26.5,Unknown,3,158434.49,6,9,Control
4446011,15,188,45.0,Female,2,140687.41,6,9,Control
4446011,4,59,18.0,Unknown,2,25270.36,1,4,Control
4446011,14,169,54.0,Female,2,136573.63,1,4,Control
4446011,4,58,49.0,Unknown,2,208004.65,5,8,Control
5308474,28,336,78.0,Female,3,175883.31,6,9,Test
5308474,12,149,40.0,Male,3,98540.5,6,9,Test
5308474,6,73,32.0,Unknown,2,43988.28,6,9,Test
5308474,13,156,31.5,Male,2,28559.28,2,5,Test
5308474,27,330,26.5,Female,2,215247.66,3,6,Test
5308474,14,175,59.5,Female,2,84419.06,1,4,Test
5308474,14,175,40.5,Female,2,95855.61,0,3,Test
5308474,12,155,68.5,Female,2,45294.1,4,7,Test
5308474,13,167,50.5,Female,2,52157.46,6,9,Test
5308474,7,96,33.5,Unknown,3,73644.53,1,4,Test
5308474,7,93,27.0,Unknown,2,76834.13,5,8,Test
5308474,20,242,56.5,Male,2,858054.38,6,9,Test
5308474,13,163,59.5,Female,2,89263.33,3,6,Test
2991219,7,91,29.0,Unknown,2,66958.67,6,9,Test
2354414,4,59,37.5,Unknown,3,43012.02,0,3,Test
2354414,6,81,57.0,Unknown,2,99729.87,6,9,Test
2354414,15,182,70.0,Male,2,56986.04,3,6,Test
2354414,11,134,28.5,Female,2,49186.49,2,5,Test
2354414,6,80,32.0,Unknown,2,30493.38,0,3,Test
949210,4,56,74.5,Unknown,2,143304.76,5,8,Test
949210,9,113,22.0,Male,2,27215.69,0,3,Test
949210,14,172,50.0,Female,2,26430.43,5,8,Test
949210,14,172,51.5,Male,2,35206.61,0,3,Test
949210,7,85,58.5,Unknown,2,175468.15,6,9,Test
7286739,6,82,23.0,Unknown,2,66806.77,2,5,Control
9988021,10,120,50.0,Female,2,48410.62,1,4,Test
9988021,8,105,55.0,Female,2,23799.36,0,3,Test
9988021,6,73,53.0,Male,2,98419.63,1,4,Test
9988021,17,212,27.5,Unknown,2,27189.73,0,3,Test
9988021,22,271,62.0,Female,4,351838.75,1,4,Test
4229407,20,244,65.5,Female,2,34564.77,0,3,Control
4229407,4,58,54.0,Unknown,2,47348.43,0,3,Control
9987707,5,66,29.5,Unknown,3,30376.22,3,6,Test
9987707,8,99,45.0,Unknown,2,91159.68,6,9,Test
9987707,16,200,51.5,Female,2,33972.98,3,6,Test
9987707,7,94,51.5,Unknown,2,98988.68,0,3,Test
9987707,16,193,50.5,Male,2,91623.79,1,4,Test
9987707,13,157,33.0,Female,2,72424.96,6,9,Test
9987707,6,78,39.0,Unknown,2,31918.65,3,6,Test
2709011,17,204,33.0,Male,3,339660.53,6,9,Test
2709011,5,60,30.5,Unknown,2,35592.44,5,8,Test
2709011,12,151,33.0,Female,2,60175.34,2,5,Test
2709011,10,121,28.0,Unknown,2,55742.18,5,8,Test
2709011,15,184,44.5,Male,3,240993.69,3,6,Test
2709011,5,60,59.5,Male,2,31921.91,6,9,Test
2709011,27,335,68.0,Male,2,89224.4,3,6,Test
2105948,14,168,39.0,Male,2,40549.95,1,4,Control
2105948,29,357,69.5,Female,2,107604.36,3,6,Control
4507502,9,111,35.5,Male,2,91643.57,2,5,Test
4507502,15,185,54.0,Male,2,192518.99,6,9,Test
4507502,6,76,27.5,Unknown,2,48601.07,2,5,Test
4229407,5,68,71.5,Female,2,36978.84,3,6,Control
4229407,6,73,34.0,Unknown,2,38654.73,3,6,Control
2842481,6,81,38.5,Unknown,3,414323.08,6,9,Control
2842481,12,148,25.5,Male,2,31514.34,5,8,Control
2842481,8,99,55.0,Male,2,73520.62,4,7,Control
2842481,10,129,35.0,Male,2,64113.1,0,3,Control
9988021,5,60,27.0,Unknown,3,72480.08,5,8,Test
9988021,8,97,66.0,Unknown,2,36933.26,4,7,Test
2317698,12,152,28.0,Male,2,37879.82,3,6,Test
